link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A9,Piso: 7,1,40.21 m2,"S/ 248,292"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,B11,"Pisos: 3, 6, 8, 10, 12",2,58.82 m2,"S/ 301,858"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,B5,"Pisos: 7, 9, 10, 12",2,57.19 m2,"S/ 306,028"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-ii-cercado-de-lima-lima-lima-imagina,Av. Petit Thouars 1140
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-ii-cercado-de-lima-lima-lima-imagina,Concepto Urban Park,-12.0758939,-77.03461109999999,Av. Petit Thouars 1140,Cercado de lima,Entrega inmediata,"30 de Junio, 2024",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,2D+C+E,Pisos: Entre 2 al 20,2,66.63 m2,"S/ 461,090"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-ii-cercado-de-lima-lima-lima-imagina,Concepto Urban Park,-12.0758939,-77.03461109999999,Av. Petit Thouars 1140,Cercado de lima,Entrega inmediata,"30 de Junio, 2024",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,2D+K,"Pisos: 3, 15, 18, 19, 20",2,55.89 m2,"S/ 399,938"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-ii-cercado-de-lima-lima-lima-imagina,Concepto Urban Park,-12.0758939,-77.03461109999999,Av. Petit Thouars 1140,Cercado de lima,Entrega inmediata,"30 de Junio, 2024",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,3D+C,Pisos: Entre 2 al 20,3,72.30 m2,"S/ 512,344"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-ii-cercado-de-lima-lima-lima-imagina,Concepto Urban Park,-12.0758939,-77.03461109999999,Av. Petit Thouars 1140,Cercado de lima,Entrega inmediata,"30 de Junio, 2024",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,3D,Pisos: 18 y 19,3,86.38 m2,"S/ 610,148"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla 107
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,4,Pisos: 12 y 13,1,60.04 m2,"S/ 627,231"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,5,Piso: 11,2,82.50 m2,"S/ 782,582"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,6,Piso: 13,1,60.11 m2,"S/ 743,557"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,2,Piso: 3,1,60.25 m2,"S/ 603,177"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,12,Piso: 15,3,147.87 m2,"S/ 1,073,257"
